time,position,temperature
0.000000,0.522523,97.493256
0.000000,0.523524,97.268842
0.000000,0.524525,97.035222
0.000000,0.525526,96.792465
0.000000,0.526527,96.540641
0.000000,0.527528,96.279825
0.000000,0.528529,96.010094
0.000000,0.529530,95.731526
0.000000,0.530531,95.444202
0.000000,0.531532,95.148207
0.000000,0.532533,94.843627
0.000000,0.533534,94.530550
0.000000,0.534535,94.209066
0.000000,0.535536,93.879269
0.000000,0.536537,93.541254
0.000000,0.537538,93.195117
0.000000,0.538539,92.840959
0.000000,0.539540,92.478880
0.000000,0.540541,92.108984
0.000000,0.541542,91.731376
0.000000,0.542543,91.346163
0.000000,0.543544,90.953454
0.000000,0.544545,90.553359
0.000000,0.545546,90.145993
0.000000,0.546547,89.731467
0.000000,0.547548,89.309899
0.000000,0.548549,88.881406
0.000000,0.549550,88.446106
0.000000,0.550551,88.004120
0.000000,0.551552,87.555569
0.000000,0.552553,87.100578
0.000000,0.553554,86.639269
0.000000,0.554555,86.171769
0.000000,0.555556,85.698205
0.000000,0.556557,85.218704
0.000000,0.557558,84.733396
0.000000,0.558559,84.242411
0.000000,0.559560,83.745879
0.000000,0.560561,83.243933
0.000000,0.561562,82.736705
0.000000,0.562563,82.224329
0.000000,0.563564,81.706939
0.000000,0.564565,81.184669
0.000000,0.565566,80.657657
0.000000,0.566567,80.126036
0.000000,0.567568,79.589945
0.000000,0.568569,79.049519
0.000000,0.569570,78.504897
0.000000,0.570571,77.956216
0.000000,0.571572,77.403614
0.000000,0.572573,76.847229
0.000000,0.573574,76.287200
0.000000,0.574575,75.723664
0.000000,0.575576,75.156760
0.000000,0.576577,74.586626
0.000000,0.577578,74.013402
0.000000,0.578579,73.437224
0.000000,0.579580,72.858232
0.000000,0.580581,72.276562
0.000000,0.581582,71.692353
0.000000,0.582583,71.105741
0.000000,0.583584,70.516862
0.000000,0.584585,69.925855
0.000000,0.585586,69.332853
0.000000,0.586587,68.737993
0.000000,0.587588,68.141408
0.000000,0.588589,67.543234
0.000000,0.589590,66.943603
0.000000,0.590591,66.342647
0.000000,0.591592,65.740500
0.000000,0.592593,65.137290
0.000000,0.593594,64.533150
0.000000,0.594595,63.928207
0.000000,0.595596,63.322590
0.000000,0.596597,62.716426
0.000000,0.597598,62.109841
0.000000,0.598599,61.502960
0.000000,0.599600,60.895908
0.000000,0.600601,60.288806
0.000000,0.601602,59.681776
0.000000,0.602603,59.074940
0.000000,0.603604,58.468415
0.000000,0.604605,57.862319
0.000000,0.605606,57.256769
0.000000,0.606607,56.651880
0.000000,0.607608,56.047765
0.000000,0.608609,55.444537
0.000000,0.609610,54.842306
0.000000,0.610611,54.241181
0.000000,0.611612,53.641271
0.000000,0.612613,53.042680
0.000000,0.613614,52.445514
0.000000,0.614615,51.849876
0.000000,0.615616,51.255867
0.000000,0.616617,50.663587
0.000000,0.617618,50.073133
0.000000,0.618619,49.484602
0.000000,0.619620,48.898089
0.000000,0.620621,48.313686
0.000000,0.621622,47.731485
0.000000,0.622623,47.151575
0.000000,0.623624,46.574045
0.000000,0.624625,45.998978
0.000000,0.625626,45.426461
0.000000,0.626627,44.856575
0.000000,0.627628,44.289400
0.000000,0.628629,43.725016
0.000000,0.629630,43.163498
0.000000,0.630631,42.604923
0.000000,0.631632,42.049362
0.000000,0.632633,41.496888
0.000000,0.633634,40.947570
0.000000,0.634635,40.401475
0.000000,0.635636,39.858670
0.000000,0.636637,39.319217
0.000000,0.637638,38.783179
0.000000,0.638639,38.250616
0.000000,0.639640,37.721587
0.000000,0.640641,37.196147
0.000000,0.641642,36.674352
0.000000,0.642643,36.156254
0.000000,0.643644,35.641903
0.000000,0.644645,35.131350
0.000000,0.645646,34.624640
0.000000,0.646647,34.121820
0.000000,0.647648,33.622933
0.000000,0.648649,33.128020
0.000000,0.649650,32.637122
0.000000,0.650651,32.150277
0.000000,0.651652,31.667521
0.000000,0.652653,31.188888
0.000000,0.653654,30.714413
0.000000,0.654655,30.244125
0.000000,0.655656,29.778054
0.000000,0.656657,29.316228
0.000000,0.657658,28.858672
0.000000,0.658659,28.405412
0.000000,0.659660,27.956470
0.000000,0.660661,27.511866
0.000000,0.661662,27.071620
0.000000,0.662663,26.635751
0.000000,0.663664,26.204273
0.000000,0.664665,25.777202
0.000000,0.665666,25.354551
0.000000,0.666667,24.936331
0.000000,0.667668,24.522553
0.000000,0.668669,24.113224
0.000000,0.669670,23.708352
0.000000,0.670671,23.307943
0.000000,0.671672,22.912001
0.000000,0.672673,22.520528
0.000000,0.673674,22.133525
0.000000,0.674675,21.750994
0.000000,0.675676,21.372933
0.000000,0.676677,20.999338
0.000000,0.677678,20.630207
0.000000,0.678679,20.265534
0.000000,0.679680,19.905312
0.000000,0.680681,19.549535
0.000000,0.681682,19.198193
0.000000,0.682683,18.851276
0.000000,0.683684,18.508774
0.000000,0.684685,18.170673
0.000000,0.685686,17.836962
0.000000,0.686687,17.507625
0.000000,0.687688,17.182647
0.000000,0.688689,16.862012
0.000000,0.689690,16.545702
0.000000,0.690691,16.233699
0.000000,0.691692,15.925983
0.000000,0.692693,15.622535
0.000000,0.693694,15.323334
0.000000,0.694695,15.028357
0.000000,0.695696,14.737582
0.000000,0.696697,14.450984
0.000000,0.697698,14.168541
0.000000,0.698699,13.890225
0.000000,0.699700,13.616013
0.000000,0.700701,13.345877
0.000000,0.701702,13.079789
0.000000,0.702703,12.817722
0.000000,0.703704,12.559648
0.000000,0.704705,12.305537
0.000000,0.705706,12.055359
0.000000,0.706707,11.809084
0.000000,0.707708,11.566681
0.000000,0.708709,11.328118
0.000000,0.709710,11.093365
0.000000,0.710711,10.862388
0.000000,0.711712,10.635154
0.000000,0.712713,10.411631
0.000000,0.713714,10.191785
0.000000,0.714715,9.975581
0.000000,0.715716,9.762985
0.000000,0.716717,9.553963
0.000000,0.717718,9.348479
0.000000,0.718719,9.146498
0.000000,0.719720,8.947984
0.000000,0.720721,8.752902
0.000000,0.721722,8.561216
0.000000,0.722723,8.372888
0.000000,0.723724,8.187882
0.000000,0.724725,8.006162
0.000000,0.725726,7.827691
0.000000,0.726727,7.652432
0.000000,0.727728,7.480347
0.000000,0.728729,7.311399
0.000000,0.729730,7.145551
0.000000,0.730731,6.982765
0.000000,0.731732,6.823004
0.000000,0.732733,6.666231
0.000000,0.733734,6.512407
